question
"Given a set of known active molecules, generate new molecule candidates with similarity >0.7."
"Given a target SMILES, generate all mono-substituted derivatives (automatically replacing one hydrogen)."
"Given a scaffold (core skeleton), generate 10 molecules with different side chain modifications."
"Given a known pharmacophore, generate molecules that meet the pharmacophore requirements."
"Given a set of molecules, extract their common substructure scaffold."
"Given a fragment in a protein binding pocket, generate fragment-growing derivatives."
"Given a drug candidate molecule, generate ring-opening/ring-closing isomers."
"Given a small molecule, generate its stereoisomers and retain all feasible conformations."
"Given a SMILES, use enumeration substitution to generate all halogen-substituted variants."
"Given a set of molecules, build a candidate library based on structural similarity."
"Given a set of molecules, screen those that satisfy Lipinski's Rule of Five."
"Given a set of molecules, screen those with TPSA < 140 angstrom squared."
"Given a set of molecules, screen those with LogP in the range of 0~5."
"Given a set of molecules, screen those with molecular weight < 500 Da."
"Given a set of molecules, screen those with rotatable bonds < 10."
"Given a set of molecules, screen those with QED > 0.6."
"Given a set of molecules, filter out PAINS (false positive) substructures."
"Given a set of molecules, filter out molecules containing toxic substructures."
"Given a set of molecules, screen those that satisfy CNS drug distribution rules."
"Given a set of molecules, screen those that satisfy the Rule of Three (fragment discovery rules)."
"Given a candidate molecule, generate more polar derivatives to improve solubility."
"Given a candidate molecule, generate more hydrophobic derivatives to improve membrane permeability."
"Given a candidate molecule, optimize its LogP to fall within 2~3."
"Given a candidate molecule, optimize its TPSA to be < 100 angstrom squared."
"Given a candidate molecule, generate more stable ring structure derivatives."
"Given a candidate molecule, generate smaller derivatives to reduce molecular weight."
"Given a candidate molecule, generate larger derivatives while maintaining QED > 0.5."
"Given a candidate molecule, generate derivatives that are easier to synthesize (lower synthetic complexity score)."
"Given a candidate molecule, replace the heterocyclic core -> calculate similarity maintaining >0.6."
"Given a candidate molecule, explore different aromatic ring substitution patterns and compare LogP."
"Given a set of molecules, calculate their 'similarity vs QED' 2D plot."
"Given a set of molecules, find the top 5 molecules with optimal QED and TPSA."
"Given a set of molecules, find molecules that simultaneously satisfy conditions on LogP and molecular weight."
"Given a set of molecules, perform Pareto optimization (objectives: LogP ~2, TPSA < 120)."
"Given a set of molecules, compare synthetic complexity scores and select the top 5 easiest to synthesize."
"Given a set of molecules, select the top 10 with the greatest structural diversity."
"Given a set of molecules, perform clustering and select the molecule with the highest QED in each cluster."
"Given a set of molecules, calculate the scaffold diversity index."
"Given a set of molecules, find molecules with similarity <0.4 that satisfy Lipinski's rules (to increase chemical space coverage)."
"Given a set of molecules, build a 'similarity-drug-likeness' heatmap."
"Extract scaffolds from a set of known drugs -> generate substituted derivatives -> screen molecules that satisfy Lipinski's rules."
"Grow fragments from a fragment library -> generate candidates -> filter out PAINS -> optimize LogP."
"Starting from a small molecule -> generate ring isomers -> select the molecule with the lowest TPSA -> calculate QED."
"Starting from a candidate molecule -> generate halogenated derivatives -> screen those with molecular weight < 450 -> calculate synthetic complexity."
"Given a scaffold -> generate various side chain modifications -> retain those with QED > 0.7 -> compare similarity."
"Given a set of active molecules -> extract common substructure -> generate new molecules -> filter out unstable conformations."
"Given a fragment -> generate candidates by fragment linking -> select molecules with LogP between 2~4 -> calculate QED."
"From a pharmacophore -> generate matching molecules -> screen those with TPSA < 90 -> select the top 3 with the smallest molecular weight."
"From a set of candidates -> screen by Rule of Five -> perform clustering -> retain one representative molecule per cluster."
"From a starting molecule -> generate all possible derivatives -> multi-objective optimization (QED, LogP, TPSA) -> select the best lead."
"Given a set of molecules, use the MaxMin algorithm to select a maximally diverse subset (N=20)."
"Use BRICS to fragment a set of molecules -> recombine fragments to generate new molecules -> filter invalid ones -> evaluate drug-likeness (QED) of new molecules."
"Given a starting molecule, systematically perform scaffold morphing (replace core ring systems) -> evaluate property changes (LogP, TPSA, QED) for each replacement."
"Given a set of molecules with activity data, extract fingerprints and descriptors, build a QSAR regression model, and predict activity for new molecules."
"Given a set of molecules with activity labels, build a classification model to distinguish active/inactive molecules and evaluate accuracy."
"Perform Matched Molecular Pair analysis on candidate molecules -> identify the structural transformation with the greatest impact on activity."
"Design a focused library: given known actives for a target, generate similar but diverse candidates and evaluate coverage."
"Implement multi-objective evolutionary optimization of molecules: use a genetic algorithm to simultaneously optimize QED, LogP, and SA Score."
"Build a complete virtual screening pipeline: read molecule library -> compute descriptors -> similarity screening -> ADMET filtering -> scoring and ranking -> output Top-10 report."
"Combinatorial library design pipeline: given scaffold and R-group lists -> enumerate all combinations -> cascade filter (Lipinski + Veber + PAINS + Brenk) -> MaxMin diversity selection Top-50 -> output final candidates with property summary."
"Similarity-driven virtual screening: given active query molecules -> Top-100 similarity search in library -> cascade ADMET filtering -> Butina clustering -> select best per cluster -> output report."
"Generated molecule quality assessment: given a set of generated SMILES and a reference molecule set -> compute validity/uniqueness/novelty/internal diversity -> compute property distributions (MW, LogP, QED) -> output comprehensive evaluation report."
"QSAR modeling pipeline (scaffold-split): given molecules with activity data -> scaffold-based train/test split -> Morgan fingerprint featurization -> Random Forest regression -> output R-squared and RMSE."
"Applicability domain analysis: given training set molecular fingerprints -> compute fingerprint space boundaries -> determine if new molecules fall within the applicability domain -> output decision and distance."
